driverID,lat,lon
1692141,49.85359,23.99071
3241470,49.84419,24.09416
3118778,49.78185,24.05799
3837509,49.84421,24.00969
3857976,49.83918,24.02938
1984636,49.86678,23.96346
3190730,49.87593,23.93775
1503066,49.84064,24.02579
3384793,49.83085,23.96083
481806,49.87026,23.94776
3340775,49.86169,24.05138
3190113,49.87118,23.95523
2939956,49.83554,23.99618
916275,49.75129,24.01563
1942190,49.83323,24.06941
2943237,49.87435,24.03994
1936319,49.84739,23.89691
2494480,49.84617,24.01262
1398161,49.77328,24.10007
1893490,49.83951,24.03236
3565718,49.86063,24.01683
3015211,49.87434,24.0397
3297031,49.84332,24.09393
1584750,49.78594,24.05119
3632830,49.83613,24.02946
1905391,49.80069,24.05206
2058335,49.832,24.04386
2824140,49.84957,24.02386
2869413,49.84031,24.03403
2594820,49.82563,23.91373
2051853,49.78451,24.05265
3942981,49.8069,23.98761
1948480,49.86507,24.01316
3351186,49.85385,24.04135
3371164,49.79299,24.05324
522109,49.89143,23.88686
2699141,49.83013,23.97247
3737809,49.8402,24.01315
3875715,49.87088,23.95659
3245890,49.90894,23.9649
2686355,49.83055,24.04323
912451,49.8399,24.03741
1626379,49.86702,24.04148
3325040,49.81176,23.82577
2151962,49.79862,24.05598
2936018,49.81987,24.01094
1841814,49.74572,24.03495
3421798,49.83506,24.06112
1131815,49.83756,24.02425
742440,49.82744,24.03277
2512307,49.80285,23.98456
245008,49.82121,23.96031
3465337,49.84036,24.03685
1935292,49.82897,23.96982
3775453,49.83271,24.0045
2581666,49.8392,24.03001
1150445,49.83835,24.03539
3452213,49.78602,24.02339
1708182,49.81956,23.98146
3728134,49.82514,23.88857
2571365,49.88126,24.07347
3116572,49.85019,23.89062
1512978,49.79408,24.06481
3179844,49.85897,24.01928
2318777,49.82925,23.99862
964845,49.82213,23.92008
3775893,49.81909,24.11311
1159851,49.8262,24.02711
1936557,49.8657,24.05459
3316783,49.8626,24.05099
1312575,49.84604,23.96998
